year,id,wrkstat,occ10,prestg10,marital,educ,age,degree,major1,biokids,sex,race,income16,rincom16,pres16,pres20,happy,health,natspac,natenvir,natheal,natcrime,reg16,yrlvmus,yrartxbt,yrmovie,artsout,yrcreat,yrrdg,yrtour,yrstmus,yrarmus,yrstpo,yrarpo,yrclass,yrpod,cvdlvmus,cvdart,cvdmov,cvdcreat,cvdrdg,cvdtour,cvdstmus,cvdarmus,cvdstpo,cvdarpo,cvdclass,cvdpod
2022,1,1,430,39,3,16,72,3,44,1,2,1,22,22,1,1,3,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,2,5,50,53,1,18,80,4,9,NA,1,1,NA,0,1,1,3,2,1,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,3,1,4610,48,3,12,57,1,NA,NA,2,1,18,18,2,2,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,4,3,4120,34,5,16,23,3,44,0,2,1,22,5,NA,1,3,2,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,5,8,7330,38,5,14,62,1,NA,2,1,1,15,0,2,2,2,3,NA,NA,NA,NA,1,2,2,2,NA,2,2,2,2,1,2,2,2,2,4,4,4,4,4,4,4,2,4,2,4,4
2022,6,1,4610,48,5,12,27,1,NA,NA,1,1,19,19,1,1,2,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,7,2,1105,61,5,12,20,1,NA,NA,2,3,17,17,NA,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,8,1,2200,74,1,16,47,4,16,NA,1,1,26,21,1,1,2,2,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,9,1,4110,31,5,12,31,1,NA,NA,2,1,14,11,3,1,2,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,10,5,3600,48,5,12,72,1,NA,NA,2,NA,9,0,3,1,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
