id,wrkstat,prestg10,age,sex
2773,8.0,31.0,60.0,2.0
3090,1.0,44.0,27.0,1.0
1289,1.0,46.0,68.0,2.0
569,6.0,62.0,24.0,1.0
3123,3.0,25.0,20.0,2.0
1107,1.0,33.0,33.0,1.0
474,1.0,45.0,68.0,1.0
352,1.0,32.0,56.0,2.0
1997,1.0,38.0,62.0,1.0
1691,5.0,29.0,79.0,1.0
2103,2.0,37.0,37.0,2.0
3038,6.0,47.0,27.0,2.0
494,5.0,60.0,72.0,1.0
1555,1.0,55.0,,2.0
739,7.0,32.0,25.0,2.0
322,2.0,44.0,54.0,1.0
3242,7.0,,34.0,2.0
718,8.0,35.0,55.0,2.0
2626,1.0,28.0,43.0,1.0
3106,5.0,45.0,70.0,1.0
1267,1.0,60.0,40.0,1.0
2327,1.0,33.0,56.0,2.0
1252,1.0,46.0,38.0,2.0
768,1.0,72.0,49.0,1.0
3226,1.0,38.0,74.0,2.0
853,1.0,36.0,69.0,1.0
1439,1.0,25.0,44.0,1.0
626,7.0,31.0,21.0,2.0
787,1.0,39.0,40.0,1.0
1598,1.0,60.0,35.0,1.0
2204,6.0,32.0,39.0,2.0
1397,1.0,34.0,45.0,1.0
1072,1.0,64.0,43.0,1.0
2255,1.0,25.0,35.0,2.0
743,1.0,31.0,55.0,2.0
146,4.0,25.0,56.0,2.0
1362,1.0,64.0,38.0,2.0
2737,1.0,47.0,53.0,2.0
2357,1.0,51.0,39.0,1.0
306,2.0,31.0,26.0,2.0
913,1.0,61.0,42.0,2.0
1500,5.0,38.0,80.0,1.0
598,1.0,42.0,56.0,1.0
1025,1.0,32.0,56.0,2.0
1926,2.0,30.0,25.0,2.0
222,1.0,45.0,31.0,2.0
652,5.0,60.0,52.0,2.0
1478,5.0,39.0,68.0,2.0
2307,1.0,22.0,21.0,1.0
2341,5.0,51.0,68.0,2.0
1953,1.0,,,1.0
3080,7.0,54.0,,2.0
1348,7.0,34.0,58.0,2.0
838,1.0,47.0,69.0,2.0
1900,1.0,25.0,24.0,2.0
1132,5.0,31.0,72.0,1.0
593,1.0,54.0,51.0,2.0
1400,2.0,61.0,,2.0
3071,3.0,31.0,38.0,2.0
390,2.0,53.0,77.0,2.0
1634,1.0,53.0,51.0,1.0
11,7.0,39.0,57.0,2.0
2966,5.0,31.0,70.0,2.0
140,1.0,52.0,34.0,2.0
2814,1.0,73.0,33.0,1.0
1548,4.0,43.0,28.0,1.0
190,1.0,75.0,49.0,1.0
2853,8.0,61.0,61.0,2.0
1246,1.0,38.0,40.0,1.0
1265,6.0,59.0,21.0,1.0
1989,2.0,39.0,36.0,2.0
2784,1.0,39.0,52.0,2.0
2925,1.0,60.0,39.0,2.0
3170,3.0,31.0,50.0,2.0
3155,5.0,28.0,,1.0
2056,2.0,32.0,19.0,2.0
28,5.0,35.0,86.0,2.0
3120,3.0,29.0,53.0,2.0
3308,5.0,70.0,47.0,1.0
455,1.0,50.0,29.0,2.0
1442,5.0,31.0,70.0,2.0
2795,2.0,48.0,19.0,1.0
158,5.0,51.0,71.0,1.0
1209,1.0,24.0,37.0,1.0
1064,1.0,47.0,32.0,2.0
2015,1.0,35.0,35.0,2.0
2019,1.0,45.0,48.0,2.0
2583,1.0,71.0,54.0,1.0
2713,7.0,47.0,61.0,2.0
538,7.0,,46.0,2.0
173,1.0,64.0,29.0,2.0
1030,1.0,39.0,60.0,2.0
830,5.0,43.0,84.0,1.0
1746,1.0,50.0,55.0,2.0
2188,1.0,50.0,38.0,1.0
854,5.0,53.0,72.0,1.0
556,1.0,35.0,60.0,2.0
2772,1.0,48.0,41.0,2.0
1614,2.0,60.0,51.0,1.0
